Drill Title,mean,std,median,min,max,count,sum
1st half,3078.2,234.17581917378718,3047.0,2809,3484,15,46173
2nd half,2891.375,495.4460448256028,2970.0,1186,3325,16,46262
"Passing Drill, 10vs10 Mannequin +1GK (68*52m), Set 1",413.4,81.2419388713671,431.5,244,600,20,8268
"Passing Drill, 10vs10 Mannequin +1GK (68*52m), Set 2",391.4,88.01519007654602,408.0,181,569,20,7828
"Passing Drill, 10vs10 Mannequin +1GK (68*52m), Set 3",428.2,83.46862000965267,419.0,252,593,20,8564
"Passing Drill, Tactical, 3 Structure 3GK,(23*53m) Set 1",522.578947368421,42.388829489584595,523.0,445,621,19,9929
"Passing Drill, Tactical, 3 Structure 3GK,(23*53m) Set 2",474.94736842105266,45.028970531586694,468.0,421,552,19,9024
"Passing Drill, Tactical, 3 Structure 3GK,(23*53m) Set 3",500.57894736842104,39.18235967806838,489.0,439,584,19,9511
"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 1",468.85714285714283,55.40460567200465,486.0,331,526,14,6564
"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 2",498.64285714285717,50.79613423034526,484.5,415,587,14,6981
"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 3",464.2857142857143,45.97060694940522,471.0,394,541,14,6500
"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 1",407.3333333333333,39.82994153177033,403.0,360,476,12,4888
"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 2",396.4166666666667,35.93038302387583,403.0,346,460,12,4757
"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 3",385.1666666666667,35.77920506595299,391.0,328,443,12,4622
"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 4",380.1666666666667,35.15118860872361,378.5,318,441,12,4562
Possession Game 4vs4+3J (12*18m) Set 1,161.1764705882353,44.037250274792434,165.0,80,228,17,2740
Possession Game 4vs4+3J (12*18m) Set 2,171.94117647058823,40.95801293433816,177.0,90,238,17,2923
Possession Game 4vs4+3J (12*18m) Set 3,168.47058823529412,46.08703403216954,180.0,64,213,17,2864
Possession Game 4vs4+3J + 4 Mini Goals (12*18m) Set 1,168.47368421052633,37.16385403565709,176.0,95,222,19,3201
Possession Game 4vs4+3J + 4 Mini Goals (12*18m) Set 2,180.76470588235293,48.04754079524349,188.0,71,239,17,3073
Possession Game 4vs4+3J + 4 Mini Goals (12*18m) Set 3,173.22222222222223,49.91705538491482,189.0,74,223,18,3118
Possession Game 4vs4+3J + 4 Mini Goals (12*18m) Set 4,165.52941176470588,45.79590271937385,175.0,68,216,17,2814
Possession Game 4vs4+3J + 4 Mini Goals (12*18m) Set 5,173.77777777777777,41.42967898323127,185.5,82,221,18,3128
"Possession Game 9vs6, 2GK + 4 Mini Goals (24*36m) Set 1",375.5,41.744896258541154,385.5,286,436,12,4506
"Possession Game 9vs6, 2GK + 4 Mini Goals (24*36m) Set 2",373.1666666666667,70.60238643060849,377.0,243,459,12,4478
"Possession Game 9vs6, 2GK + 4 Mini Goals (24*36m) Set 3",343.44444444444446,66.0721407083029,356.0,219,413,9,3091
"Possession Game 9vs6, 2GK + 4 Mini Goals (24*36m) Set 4",347.44444444444446,85.22633265474808,357.0,229,465,9,3127
"Possession Game 9vs6, 2GK + 4 Mini Goals (24*36m) Set 5",344.6666666666667,74.42277877101876,371.0,192,412,9,3102
"Possession Game 9vs6, 2GK + 4 Mini Goals (24*36m) Set 6",378.3333333333333,43.01162633521314,385.0,303,427,9,3405
Possession Game Tactical 10vs9 + 6 Mini Goals (40*60m) Set 1,271.8,29.874021203332212,280.0,221,308,15,4077
Possession Game Tactical 10vs9 + 6 Mini Goals (40*60m) Set 2,279.8,37.74955061227315,290.0,215,321,15,4197
Possession Game Tactical 10vs9 + 6 Mini Goals (40*60m) Set 3,265.53333333333336,28.27383107768602,265.0,224,324,15,3983
Possession Game Tactical 10vs9 + 6 Mini Goals (40*60m) Set 4,263.4,35.62062003150102,261.0,210,331,15,3951
Possession Game Tactical 10vs9 + 6 Mini Goals (40*60m) Set 5,273.26666666666665,31.237492735188457,264.0,222,332,15,4099
"Possession Game, 8vs4 (14*20m) 3 Groups of 4, Set 1",116.66666666666667,47.57409082312618,105.5,60,219,18,2100
"Possession Game, 8vs4 (14*20m) 3 Groups of 4, Set 2",144.88888888888889,51.62180215293089,151.5,59,210,18,2608
"Possession Game, 8vs4 (14*20m) 3 Groups of 4, Set 3",129.22222222222223,48.38273337554306,123.0,60,218,18,2326
"Possession Game, 8vs4 (14*20m) 3 Groups of 4, Set 4",121.0,46.68921024113791,110.0,64,212,18,2178
"Possession Game, 8vs4 (14*20m) 3 Groups of 4, Set 5",145.27777777777777,50.72858059209708,135.5,75,217,18,2615
"Possession Game, 8vs4 (14*20m) 3 Groups of 4, Set 6",123.05555555555556,43.7028363896067,114.5,52,192,18,2215
"Possession Game, 8vs4 (14*20m) 3 Groups of 4, Set 7",113.77777777777777,38.43796462071069,108.0,47,185,18,2048
"Possession Game, 8vs4 (14*20m) 3 Groups of 4, Set 8",146.83333333333334,52.56284753679609,144.0,65,225,18,2643
"Possession Game, 8vs4 (14*20m) 3 Groups of 4, Set 9",122.5,49.77980927810698,113.0,47,208,18,2205
"Split - Defense, Technical-Tactical Line of 4, Set 1",574.4444444444445,142.6237279619972,622.0,298,779,9,5170
"Split - Defense, Technical-Tactical Line of 4, Set 2",345.55555555555554,59.31928672681237,369.0,221,414,9,3110
"Split - Offense, Finishing 4 Combination, Set 1",196.27272727272728,91.00998946169689,157.0,112,376,11,2159
"Split - Offense, Finishing 4 Combination, Set 2",211.0909090909091,64.67063405511739,207.0,119,316,11,2322
"Split - Offense, Finishing 4 Combination, Set 3",204.8181818181818,41.92330660102607,188.0,156,286,11,2253
"Split - Offense, Finishing 4 Combination, Set 4",204.45454545454547,71.6287144047185,167.0,143,337,11,2249
"Tactical 11vs11 (68*78m), Set 1",544.75,49.13825578730061,540.5,453,602,12,6537
"Tactical 11vs11 (68*78m), Set 2",534.8333333333334,51.26018006802221,525.5,422,618,12,6418
"Tactical 11vs11, Build-up (68*78m) Set 1",449.06666666666666,58.539933460192884,443.0,364,563,15,6736
"Tactical 11vs11, Build-up (68*78m) Set 2",459.93333333333334,73.61722107017648,468.0,305,568,15,6899
"Tactical 11vs11, Build-up (68*78m) Set 3",401.1333333333333,54.727724322538826,391.0,309,496,15,6017
"Tactical 11vs11, Build-up (68*78m) Set 4",389.57142857142856,68.35170842017078,399.5,277,511,14,5454
"Tactical 11vs11, Build-up (68*78m) Set 5",460.7857142857143,58.99175766602884,456.5,367,567,14,6451
"Tactical Defense (All The Field, 68*105m) Set 1",392.2352941176471,52.34564142763548,402.0,294,488,17,6668
"Tactical Defense (All The Field, 68*105m) Set 2",344.47058823529414,48.48726333669856,326.0,286,434,17,5856
"Tactical Defense (All The Field, 68*105m) Set 3",346.7647058823529,68.78002018370297,356.0,200,459,17,5895
"Tactical Defense (All The Field, 68*105m) Set 4",374.29411764705884,47.53257397022903,374.0,284,491,17,6363
"Tactical Defense (All The Field, 68*105m) Set 5",356.4117647058824,41.68491757148112,351.0,292,443,17,6059
"Tactical Defense (All The Field, 68*105m) Set 6",372.11764705882354,40.35139767241833,361.0,311,447,17,6326
"Tactical Defense 11vs11 (All The Field, 68*105), Set 1",467.8125,52.96693150762402,475.5,328,566,16,7485
"Tactical Defense 11vs11 (All The Field, 68*105), Set 2",476.70588235294116,59.56379427332761,474.0,324,599,17,8104
"Tactical Offense 11vs11 (All The Field, 68*105), Set 3",487.625,71.11106336803954,494.0,323,586,16,7802
"Tactical Offense 11vs11 (All The Field, 68*105), Set 4",501.05882352941177,48.39094774365771,505.0,403,604,17,8518
"Tactical Offense 11vs11 (All The Field, 68*105m) Set 1",294.93333333333334,34.6646519561079,298.0,236,348,15,4424
"Tactical Offense 11vs11 (All The Field, 68*105m) Set 2",353.3125,28.20335381947805,357.0,297,412,16,5653
"Tactical Offense 11vs11 (All The Field, 68*105m) Set 3",386.5,49.28150430604433,406.0,310,445,16,6184
"Tactical Offense 11vs11 (All The Field, 68*105m) Set 4",387.6875,43.71074429321317,390.5,318,467,16,6203
"Tactical Offense 11vs11 (All The Field, 68*105m) Set 5",372.6,53.17733136806107,366.0,291,455,15,5589
"Tactical Possession Game, 10vs9 + 1GK (68*65m, 35m) Set 1",321.75,80.89128506829398,314.5,209,477,16,5148
"Tactical Possession Game, 10vs9 + 1GK (68*65m, 35m) Set 2",265.0,95.14068530339688,258.0,0,393,17,4505
"Tactical Possession Game, 10vs9 + 1GK (68*65m, 35m) Set 3",306.1333333333333,95.65851964646109,313.0,18,403,15,4592
"Tactical Possession Game, 10vs9 + 1GK (68*65m, 35m) Set 4",333.8,107.98690396789523,362.0,10,428,15,5007
"Warm-up, Passing Drill Set 1",392.45,35.556441418057986,384.0,314,463,20,7849
"Warm-up, Passing Drill Set 2",415.15,38.45609252942346,418.5,334,512,20,8303
